time	V(adc_out)
4.559671700952242e-03	7.490787e-01
4.569437325952242e-03	6.860108e-01
4.579202950952242e-03	6.554492e-01
4.586795525723151e-03	6.548511e-01
4.593969341555254e-03	6.729502e-01
4.603734966555253e-03	7.260840e-01
4.613500591555253e-03	8.103709e-01
4.623266216555253e-03	9.229628e-01
4.633031841555253e-03	1.060055e+00
4.642797466555252e-03	1.217016e+00
4.652563091555252e-03	1.388542e+00
4.662328716555252e-03	1.568837e+00
4.672094341555252e-03	1.751809e+00
4.681859966555252e-03	1.931275e+00
4.691625591555251e-03	2.101173e+00
4.701391216555251e-03	2.255760e+00
4.711156841555251e-03	2.389815e+00
4.720922466555251e-03	2.498807e+00
4.730688091555251e-03	2.579053e+00
4.740453716555250e-03	2.627843e+00
4.750219341555250e-03	2.643528e+00
4.755357157526331e-03	2.638265e+00
4.763717441286335e-03	2.609922e+00
4.773483066286335e-03	2.546715e+00
4.783248691286335e-03	2.453143e+00
4.793014316286335e-03	2.332369e+00
4.802779941286335e-03	2.188474e+00
4.812545566286334e-03	2.026319e+00
4.822311191286334e-03	1.851384e+00
4.832076816286334e-03	1.669580e+00
4.841842441286334e-03	1.487050e+00
4.851608066286334e-03	1.309961e+00
4.861373691286333e-03	1.144297e+00
4.871139316286333e-03	9.956552e-01
4.880904941286333e-03	8.690590e-01
4.890670566286333e-03	7.687851e-01
4.900436191286332e-03	6.982220e-01
4.910201816286332e-03	6.597537e-01
4.919253755794641e-03	6.539100e-01
4.925878627645230e-03	6.679550e-01
4.935644252645230e-03	7.163698e-01
4.945409877645229e-03	7.962673e-01
4.955175502645229e-03	9.049469e-01
4.964941127645229e-03	1.038737e+00
4.974706752645229e-03	1.193117e+00
4.984472377645229e-03	1.362870e+00
4.994238002645228e-03	1.542261e+00
5.004003627645228e-03	1.725228e+00
5.013769252645228e-03	1.905588e+00
5.023534877645228e-03	2.077249e+00
5.033300502645228e-03	2.234408e+00
5.043066127645227e-03	2.371757e+00
5.052831752645227e-03	2.484655e+00
5.062597377645227e-03	2.569286e+00
5.072363002645227e-03	2.622792e+00
5.082128627645227e-03	2.643364e+00
5.087885501500841e-03	2.639733e+00
5.095742204579927e-03	2.615986e+00
5.105507829579927e-03	2.557033e+00
5.115273454579927e-03	2.467368e+00
5.125039079579926e-03	2.350021e+00
5.134804704579926e-03	2.208957e+00
5.144570329579926e-03	2.048943e+00
5.154335954579926e-03	1.875385e+00
5.164101579579926e-03	1.694148e+00
5.173867204579925e-03	1.511355e+00
5.183632829579925e-03	1.333184e+00
5.193398454579925e-03	1.165654e+00
5.203164079579925e-03	1.014425e+00
5.212929704579925e-03	8.846090e-01
5.222695329579924e-03	7.805905e-01
5.232460954579924e-03	7.058851e-01
5.242226579579924e-03	6.630162e-01
5.251992204579924e-03	6.534333e-01
5.258243649461989e-03	6.649700e-01
5.268009274461988e-03	7.101561e-01
5.277774899461988e-03	7.870357e-01
5.287540524461988e-03	8.930103e-01
5.297306149461988e-03	1.024500e+00
5.307071774461988e-03	1.177061e+00
5.316837399461987e-03	1.345539e+00
5.326603024461987e-03	1.524241e+00
5.336368649461987e-03	1.707129e+00
5.346134274461987e-03	1.888023e+00
5.355899899461987e-03	2.060812e+00
5.365665524461986e-03	2.219656e+00
5.375431149461986e-03	2.359189e+00
5.385196774461986e-03	2.474695e+00
5.394962399461986e-03	2.562274e+00
5.404728024461986e-03	2.618964e+00
5.414493649461985e-03	2.642852e+00
5.420858614684966e-03	2.640332e+00
5.428489753352692e-03	2.618524e+00
5.438255378352692e-03	2.561488e+00
5.448021003352691e-03	2.473590e+00
5.457786628352691e-03	2.357800e+00
5.467552253352691e-03	2.218032e+00
5.477317878352691e-03	2.059007e+00
5.487083503352690e-03	1.886100e+00
5.496849128352690e-03	1.705153e+00
5.506614753352690e-03	1.522279e+00
5.516380378352690e-03	1.343658e+00
5.526146003352690e-03	1.175325e+00
5.535911628352689e-03	1.022969e+00
5.545677253352689e-03	8.917363e-01
5.555442878352689e-03	7.860619e-01
5.565208503352689e-03	7.095165e-01
5.574974128352689e-03	6.646861e-01
5.584739753352688e-03	6.530861e-01
5.590623329607966e-03	6.623505e-01
5.600189368021338e-03	7.031578e-01
5.609954993021337e-03	7.764098e-01
5.619720618021337e-03	8.791168e-01
5.629486243021337e-03	1.007809e+00
5.639251868021337e-03	1.158138e+00
5.649017493021337e-03	1.325024e+00
5.658783118021336e-03	1.502828e+00
5.668548743021336e-03	1.685543e+00
5.678314368021336e-03	1.866994e+00
5.688079993021336e-03	2.041051e+00
5.697845618021335e-03	2.201832e+00
5.707611243021335e-03	2.343905e+00
5.717376868021335e-03	2.462469e+00
5.727142493021335e-03	2.553519e+00
5.736908118021335e-03	2.613978e+00
5.746673743021334e-03	2.641804e+00
5.753762322889175e-03	2.640980e+00
5.761124279054490e-03	2.621392e+00
5.770889904054490e-03	2.566651e+00
5.780655529054489e-03	2.480875e+00
5.790421154054489e-03	2.366961e+00
5.800186779054489e-03	2.228761e+00
5.809952404054489e-03	2.070943e+00
5.819718029054489e-03	1.898839e+00
5.829483654054488e-03	1.718266e+00
5.839249279054488e-03	1.535324e+00
5.849014904054488e-03	1.356195e+00
5.858780529054488e-03	1.186932e+00
5.868546154054488e-03	1.033254e+00
5.878311779054487e-03	9.003534e-01
5.888077404054487e-03	7.927206e-01
5.897843029054487e-03	7.139926e-01
5.907608654054487e-03	6.668294e-01
5.917374279054487e-03	6.528248e-01
5.922818871847348e-03	6.596361e-01
5.931675758094275e-03	6.928644e-01
5.941441383094275e-03	7.602353e-01
5.951207008094274e-03	8.576089e-01
5.960972633094274e-03	9.816955e-01
5.970738258094274e-03	1.128302e+00
5.980503883094274e-03	1.292474e+00
5.990269508094274e-03	1.468666e+00
6.000035133094273e-03	1.650923e+00
6.009800758094273e-03	1.833087e+00
6.019566383094273e-03	2.009004e+00
6.029332008094273e-03	2.172728e+00
6.039097633094273e-03	2.318729e+00
6.048863258094272e-03	2.442073e+00
6.058628883094272e-03	2.538593e+00
6.068394508094272e-03	2.605026e+00
6.078160133094272e-03	2.639130e+00
6.086405401912312e-03	2.641868e+00
6.093334560952081e-03	2.625631e+00
6.103100185952080e-03	2.574598e+00
6.112865810952080e-03	2.492262e+00
6.122631435952080e-03	2.381406e+00
6.132397060952080e-03	2.245775e+00
6.142162685952079e-03	2.089952e+00
6.151928310952079e-03	1.919203e+00
6.161693935952079e-03	1.739297e+00
6.171459560952079e-03	1.556312e+00
6.181225185952079e-03	1.376433e+00
6.190990810952078e-03	1.205736e+00
6.200756435952078e-03	1.049990e+00
6.210522060952078e-03	9.144564e-01
6.220287685952078e-03	8.037154e-01
6.230053310952078e-03	7.215084e-01
6.239818935952077e-03	6.706135e-01
6.249584560952077e-03	6.527500e-01
6.254845586336482e-03	6.570758e-01
6.262885926578735e-03	6.824582e-01
6.272651551578735e-03	7.429683e-01
6.282417176578734e-03	8.340652e-01
6.292182801578734e-03	9.526716e-01
6.301948426578734e-03	1.094779e+00
6.311714051578734e-03	1.255587e+00
6.321479676578734e-03	1.429661e+00
6.331245301578733e-03	1.611119e+00
6.341010926578733e-03	1.793830e+00
6.350776551578733e-03	1.971622e+00
6.360542176578733e-03	2.138484e+00
6.370307801578733e-03	2.288782e+00
6.380073426578732e-03	2.417435e+00
6.389839051578732e-03	2.520097e+00
6.399604676578732e-03	2.593299e+00
6.409370301578732e-03	2.634568e+00
6.418940303881732e-03	2.642681e+00
6.425368435001249e-03	2.629984e+00
6.435134060001249e-03	2.583270e+00
6.444899685001249e-03	2.504961e+00
6.454665310001249e-03	2.397704e+00
6.464430935001248e-03	2.265122e+00
6.474196560001248e-03	2.111696e+00
6.483962185001248e-03	1.942609e+00
6.493727810001248e-03	1.763575e+00
6.503493435001248e-03	1.580644e+00
6.513259060001247e-03	1.399997e+00
6.523024685001247e-03	1.227736e+00
6.532790310001247e-03	1.069684e+00
6.542555935001247e-03	9.311802e-01
6.552321560001247e-03	8.169048e-01
6.562087185001246e-03	7.307185e-01
6.571852810001246e-03	6.755341e-01
6.581618435001246e-03	6.532156e-01
6.587695749762508e-03	6.562983e-01
6.595433648928255e-03	6.790161e-01
6.605199273928255e-03	7.369622e-01
6.614964898928255e-03	8.256992e-01
6.624730523928255e-03	9.422292e-01
6.634496148928254e-03	1.082614e+00
6.644261773928254e-03	1.242111e+00
6.654027398928254e-03	1.415331e+00
6.663793023928254e-03	1.596420e+00
6.673558648928254e-03	1.779259e+00
6.683324273928253e-03	1.957672e+00
6.693089898928253e-03	2.125629e+00
6.702855523928253e-03	2.277456e+00
6.712621148928253e-03	2.408021e+00
6.722386773928253e-03	2.512915e+00
6.732152398928252e-03	2.588593e+00
6.741918023928252e-03	2.632497e+00
6.751683648928252e-03	2.643144e+00
6.757741339181543e-03	2.632830e+00
6.767506964181543e-03	2.589326e+00
6.777272589181543e-03	2.514024e+00
6.787038214181543e-03	2.409468e+00
